	SRR2921689	SRR2921690	SRR2921691	SRR2921692	SRR2921693	SRR2921694	SRR2921695	SRR2921696	SRR2921697	SRR2921698	SRR2921699	SRR2921700	SRR2921701	SRR2921702	SRR2921703	SRR2921704	SRR2921705	SRR2921706	SRR2921707	SRR2921708	SRR2921709	SRR2921710	SRR2921711	SRR2921712
3HBCDm_neg	4.361472870482386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47605992249293877	0.0	0.0	0.0	0.0	0.0	1.9887283453021676	0.0	0.0	0.0	0.0	2.9293365002159426	0.0
3HBCOAHLm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.922625986183924	0.0	3.4565800023134856	5.33707925464251	0.0	0.0	0.0	4.42252092861479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3HLYTCL_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3HPCOAHYD_pos	0.0	7.2934663914534426	0.0	4.207172683901937	1.2510629585365736	5.84444127054959	6.92135613178941	0.0	6.160112058647422	7.013849757581282	7.130823021345087	4.907994989452625	5.098769456955337	7.284397975105152	0.0	6.611699444146448	3.558381625283115	0.0	0.0	0.0	0.0	0.0	0.0	3.6543612601335402
3HPPD_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3HXKYNOXDA_pos	2.7177350155950113	0.0	1.0266094655665512	6.165667544949186	4.564780430873152	1.2514002344577269	3.1104647625132418	1.3031917185168613	4.8337310768393245	5.179376162588227	5.481310249774867	0.0	2.301696790422694	2.704519999445911	1.9417357085589948	0.0	0.0	1.9815065054062084	0.0	2.3478215403386384	0.0	3.846157769993883	4.2872219069528406	1.1920851119999596
3M4HDXPAC_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
