	SRR2921408	SRR2921409	SRR2921410	SRR2921411	SRR2921412	SRR2921413	SRR2921414	SRR2921415	SRR2921416	SRR2921417	SRR2921418	SRR2921419	SRR2921420	SRR2921562
r2111_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2111_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2112_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2112_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2113_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2113_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2114_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2114_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2115_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2115_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2116_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2116_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2117_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2117_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2118_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2118_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2119_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2119_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2120_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2120_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2121_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2121_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2122_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2122_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2123_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2123_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2124_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2124_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2125_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2125_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2126_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2126_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2127_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2127_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2128_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2128_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2129_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2129_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2130_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2130_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2131_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2131_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2132_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2132_neg	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
r2133_pos	1.4906977629683356	4.99359656275854	5.350398993513355	3.274718232310865	6.3757536570447195	6.087427789292937	2.2020686365575695	1.8684033917278104	3.5378721829354887	3.5302207711699136	1.66437111906097	2.034245909531401	2.990861581903745	6.970048905766458
